Date,Open,High,Low,Close,Volume,Adj Close
2009-05-04,27.79,30.05,27.12,29.52,7418000,27.24
2009-04-27,26.67,29.15,26.10,28.57,8477100,24.57
2009-04-20,26.72,27.20,25.15,27.13,6446500,23.33
2009-04-14,26.75,27.99,26.56,27.14,5467000,23.34
2009-04-06,26.19,27.18,24.51,26.89,3972600,23.12
2009-03-30,23.30,26.98,22.17,25.96,6066300,22.32
2009-03-23,24.64,24.93,23.44,23.79,4424200,20.46
2009-03-16,24.65,24.78,23.11,23.95,5469900,20.60
2009-03-09,20.84,25.26,20.07,24.26,7972200,20.86
2009-03-02,21.52,22.36,20.17,20.74,6647200,17.83
2009-02-23,22.19,23.22,20.53,21.96,8048800,18.88
2009-02-16,24.25,24.80,21.74,21.74,4709900,18.69
2009-02-09,25.56,26.33,23.65,24.58,4869300,21.14
2009-02-02,22.33,26.18,21.55,26.10,6192600,22.44
2009-01-26,21.80,23.90,21.70,22.72,5965300,19.54
2009-01-19,24.10,24.24,21.15,21.86,6698200,18.80
2009-01-12,25.76,25.91,22.61,23.76,5695000,20.43
2009-01-05,28.05,28.38,25.35,25.72,4740300,22.12
2008-12-29,26.77,28.10,25.93,27.90,2882100,23.99
2008-12-22,26.42,26.58,25.58,26.00,2213100,22.36
2008-12-15,25.78,26.99,24.71,26.43,7669900,22.73
2008-12-08,24.24,26.49,23.69,25.07,6895300,21.56
2008-12-01,24.86,24.95,22.07,22.61,7405500,19.44
2008-11-24,22.10,25.50,21.41,25.10,7046900,21.58
2008-11-17,25.88,26.47,20.54,21.68,12434500,18.64
2008-11-10,26.91,28.31,24.90,25.88,6537200,22.25
2008-11-03,27.05,29.44,25.00,26.08,9201100,22.43
2008-10-27,21.00,26.72,17.85,26.07,19448900,22.42
2008-10-20,25.25,25.96,20.51,22.38,10508900,19.25
2008-10-13,27.52,30.75,23.52,24.52,15003200,21.09
2008-10-06,32.30,32.75,23.43,25.55,16433300,21.97
2008-09-29,34.78,34.78,31.39,33.26,8543000,28.60
2008-09-22,35.00,35.48,34.00,34.97,5631500,30.07
2008-09-15,36.90,36.98,32.63,34.98,15153100,30.08
2008-09-08,38.92,39.00,36.96,37.81,6158100,32.51
2008-09-01,39.16,40.19,37.95,38.17,4756900,32.82
2008-08-25,39.39,39.76,38.54,39.38,3835200,33.86
2008-07-28,41.99,42.05,38.96,39.50,3943100,33.97
2008-07-21,40.92,42.60,40.73,41.81,5166700,35.95
2008-07-14,40.81,41.67,40.07,41.25,5675300,35.47
2008-07-07,42.75,42.95,40.22,40.56,5715800,34.88
2008-06-30,43.80,44.29,41.81,42.20,5187400,36.29
2008-06-23,44.99,45.75,43.79,44.12,5085100,37.94
2008-06-16,47.62,47.75,44.88,44.90,6722300,19.31
2008-06-09,47.25,48.12,46.47,47.43,5466500,20.39
2008-06-02,48.35,48.56,47.07,47.21,5056000,20.30
2008-05-26,46.58,48.40,46.54,48.19,4202600,20.72
2008-05-19,46.56,47.90,46.14,46.67,4901000,20.07
2008-05-12,44.74,46.78,44.54,46.42,4148300,19.96
2008-05-05,45.35,46.05,44.42,44.54,3700500,19.15
2008-04-28,45.14,46.06,44.94,45.46,4853200,19.55
2008-04-21,46.88,47.13,44.88,45.03,7124300,19.36
2008-04-14,43.85,46.76,43.85,46.72,5395400,20.09
2008-04-07,44.60,45.48,43.88,44.51,4683800,19.14
2008-03-31,42.83,44.99,42.03,44.43,6024000,19.10
2008-03-24,41.87,43.15,41.87,42.44,4504100,18.25
2008-03-17,40.85,43.40,40.85,41.87,8618500,18.00
2008-03-10,41.23,43.28,41.01,41.85,6405900,17.99
2008-03-03,41.40,43.00,40.85,41.64,6426200,17.90
2008-02-25,42.68,43.44,41.53,41.99,5506700,18.05
2008-02-18,43.25,44.35,41.97,42.26,6596600,18.17
2008-02-11,41.55,44.19,41.31,42.77,5941200,18.39
